school_name,street,postcode,easting,northing,web_site,school_group,maintain_status,lea_no,dcfs_no,_geom
Acocks Green Primary School,Westley Road,B27 7UQ,411976,283216,http://acocks.schooljotter2.com/,Primary,Academy Converter,330,2020,"{""type"":""Point"",""coordinates"":[-1.82522312891254,52.4467952243302]}"
Adderley Nursery School,Adderley Road,B8 1EH,409476,287857,http://www.addleyn.bham.sch.uk/,Nursery,LA Nursery School,330,1027,"{""type"":""Point"",""coordinates"":[-1.86187538460657,52.4885571394878]}"
Adderley Primary School,Arden Road,B8 1DZ,409534,287331,http://www.adderleyprimary.co.uk/,Primary,Community School,330,2010,"{""type"":""Point"",""coordinates"":[-1.86105072305983,52.483827465766]}"
Al-Furqan Primary School,Reddings Lane,B11 3EY,410459,283448,http://www.al-furqan-pri.bham.sch.uk/,Primary,Voluntary Aided School,330,5949,"{""type"":""Point"",""coordinates"":[-1.84755023388747,52.4489027767099]}"
Al-Hijrah School,"Cherrywood Centre, Burbidge Road",B9 4US,410058,287022,http://www.alhijrahschool.co.uk/,All Through,Voluntary Aided School,330,4334,"{""type"":""Point"",""coordinates"":[-1.85332920347704,52.4810402556962]}"
Albert Bradbeer Primary Academy,Turves Green,B31 4RD,401976,277384,http://www.abprimary.bham.sch.uk/,Primary,Academy Converter,330,3433,"{""type"":""Point"",""coordinates"":[-1.97240036986396,52.3944907714185]}"
Allens Croft Nursery School,Allens Croft Road,B14 6RP,406019,280393,http://www.allenscn.bham.sch.uk/,Nursery,LA Nursery School,330,1017,"{""type"":""Point"",""coordinates"":[-1.91291831571312,52.4215131903071]}"
Allens Croft Primary School,Allens Croft Road,B14 6RP,405995,280354,http://www.allcroft.bham.sch.uk/,Primary,Community School,330,2153,"{""type"":""Point"",""coordinates"":[-1.91327193035766,52.4211628480957]}"
Alston Primary School,Alston Road,B9 5UN,411572,287073,http://www.alston.bham.sch.uk/,Primary,Academy Sponsor Led,330,2144,"{""type"":""Point"",""coordinates"":[-1.83104939903958,52.4814780335717]}"
Anderton Park Primary School,Dennis Road,B12 8BL,408580,283706,http://www.andertonparkschool.org/,Primary,Community School,330,2062,"{""type"":""Point"",""coordinates"":[-1.87517600798768,52.4512634569079]}"
Anglesey Primary School,Anglesey Street,B19 1RA,406167,289083,http://www.angleseysch-bham.co.uk/,Primary,Community School,330,2479,"{""type"":""Point"",""coordinates"":[-1.91058449557963,52.499634484346]}"
Archbishop Ilsley Catholic School,Victoria Road,B27 7XY,412207,283004,http://www.ilsley.bham.sch.uk/,Secondary,Voluntary Aided School,330,4804,"{""type"":""Point"",""coordinates"":[-1.82184679914732,52.4448753309294]}"
Arden Primary School,Baker Street,B11 4SF,409440,284146,http://www.arden.bham.sch.uk/,Primary,Community School,330,2300,"{""type"":""Point"",""coordinates"":[-1.86250928515163,52.4551960965477]}"
Ark Boulton Academy,Golden Hillock Road,B11 2QG,409553,284430,http://arkboulton.org/,Secondary,Academy Sponsor Led,330,4013,"{""type"":""Point"",""coordinates"":[-1.86083839430338,52.4577472953215]}"
